algorithm,episode,rl_mean_action,rl_std_action,rl_zero_action_rate,rl_max_action_rate,rl_invalid_action_count,exec_mean_action,exec_std_action,exec_zero_action_rate,exec_max_action_rate,exec_invalid_action_count,env_mean_order_qty,env_std_order_qty,env_zero_order_rate,env_max_order_rate,rl_per_node_mean_action,rl_per_node_std_action,rl_per_layer_mean_action,exec_per_node_mean_action,exec_per_node_std_action,exec_per_layer_mean_action,env_per_node_mean_order_qty,env_per_node_std_order_qty,env_per_layer_mean_order_qty
IQL,120,15.914814814814815,9.434185422988891,0.041666666666666664,0.03666666666666667,0,15.914814814814815,9.434185422988891,0.041666666666666664,0.03666666666666667,0,15.914814814814815,9.434185422988891,0.07037037037037037,0.037037037037037035,18.7333;20.9;18.6;15.1;18.7667;14.2333;6.2;11.1667;19.5333,8.91416;8.38391;7.07861;6.97304;8.41698;7.70144;8.92338;10.5233;7.09804,19.8167;17.4889;12.7833,18.7333;20.9;18.6;15.1;18.7667;14.2333;6.2;11.1667;19.5333,8.91416;8.38391;7.07861;6.97304;8.41698;7.70144;8.92338;10.5233;7.09804,19.8167;17.4889;12.7833,18.7333;20.9;18.6;15.1;18.7667;14.2333;6.2;11.1667;19.5333,8.91416;8.38391;7.07861;6.97304;8.41698;7.70144;8.92338;10.5233;7.09804,19.8167;17.4889;12.7833
IQL,121,14.829629629629629,9.411608860567211,0.055,0.023333333333333334,0,14.829629629629629,9.411608860567211,0.055,0.023333333333333334,0,14.829629629629629,9.411608860567211,0.07407407407407407,0.014814814814814815,20.9;17.1667;19.5667;14.9667;14.9;12.9667;6.8;8.43333;17.7667,8.49451;9.68533;8.36534;6.97846;7.11032;8.65056;8.08868;8.12274;8.57393,19.0333;16.4778;11.4917,20.9;17.1667;19.5667;14.9667;14.9;12.9667;6.8;8.43333;17.7667,8.49451;9.68533;8.36534;6.97846;7.11032;8.65056;8.08868;8.12274;8.57393,19.0333;16.4778;11.4917,20.9;17.1667;19.5667;14.9667;14.9;12.9667;6.8;8.43333;17.7667,8.49451;9.68533;8.36534;6.97846;7.11032;8.65056;8.08868;8.12274;8.57393,19.0333;16.4778;11.4917
IQL,122,14.677777777777777,9.592235800600452,0.03833333333333333,0.03333333333333333,0,14.677777777777777,9.592235800600452,0.03833333333333333,0.03333333333333333,0,14.677777777777777,9.592235800600452,0.044444444444444446,0.02962962962962963,16.7333;17.9;11.5667;17.7333;15.0333;12.2667;12.4;12.6667;15.8,10.4688;7.60417;8.83811;8.27822;7.26858;9.59838;10.8154;9.84999;10.2483,17.3167;14.7778;13.2833,16.7333;17.9;11.5667;17.7333;15.0333;12.2667;12.4;12.6667;15.8,10.4688;7.60417;8.83811;8.27822;7.26858;9.59838;10.8154;9.84999;10.2483,17.3167;14.7778;13.2833,16.7333;17.9;11.5667;17.7333;15.0333;12.2667;12.4;12.6667;15.8,10.4688;7.60417;8.83811;8.27822;7.26858;9.59838;10.8154;9.84999;10.2483,17.3167;14.7778;13.2833
IQL,123,15.162962962962963,9.700482926052096,0.045,0.03666666666666667,0,15.162962962962963,9.700482926052096,0.045,0.03666666666666667,0,15.162962962962963,9.700482926052096,0.05925925925925926,0.05925925925925926,18.3;21.1;17.9333;16.5;15.2;9.76667;8.9;13.2;15.5667,8.35125;8.61143;10.5922;7.99479;8.1666;9.67706;9.05299;10.4798;6.91705,19.7;16.5444;11.8583,18.3;21.1;17.9333;16.5;15.2;9.76667;8.9;13.2;15.5667,8.35125;8.61143;10.5922;7.99479;8.1666;9.67706;9.05299;10.4798;6.91705,19.7;16.5444;11.8583,18.3;21.1;17.9333;16.5;15.2;9.76667;8.9;13.2;15.5667,8.35125;8.61143;10.5922;7.99479;8.1666;9.67706;9.05299;10.4798;6.91705,19.7;16.5444;11.8583
IQL,124,15.433333333333334,10.931825776823139,0.03833333333333333,0.058333333333333334,0,15.433333333333334,10.931825776823139,0.03833333333333333,0.058333333333333334,0,15.433333333333334,10.931825776823139,0.05185185185185185,0.08888888888888889,20.9;19.8;21.7333;16.9333;20.7667;8.63333;7.76667;9.86667;12.5,8.71149;10.725;10.2207;9.09554;9.76962;8.72729;9.29402;10.0821;8.5936,20.35;19.8111;9.69167,20.9;19.8;21.7333;16.9333;20.7667;8.63333;7.76667;9.86667;12.5,8.71149;10.725;10.2207;9.09554;9.76962;8.72729;9.29402;10.0821;8.5936,20.35;19.8111;9.69167,20.9;19.8;21.7333;16.9333;20.7667;8.63333;7.76667;9.86667;12.5,8.71149;10.725;10.2207;9.09554;9.76962;8.72729;9.29402;10.0821;8.5936,20.35;19.8111;9.69167
IQL,125,14.411111111111111,9.835567856597217,0.041666666666666664,0.03666666666666667,0,14.411111111111111,9.835567856597217,0.041666666666666664,0.03666666666666667,0,14.411111111111111,9.835567856597217,0.05185185185185185,0.05555555555555555,17.2667;18.2;18.6;16.3333;15.5667;7.96667;12.7333;8.46667;14.5667,9.2193;9.45304;10.4326;9.21352;7.57048;9.30406;8.77091;9.13139;8.57781,17.7333;16.8333;10.9333,17.2667;18.2;18.6;16.3333;15.5667;7.96667;12.7333;8.46667;14.5667,9.2193;9.45304;10.4326;9.21352;7.57048;9.30406;8.77091;9.13139;8.57781,17.7333;16.8333;10.9333,17.2667;18.2;18.6;16.3333;15.5667;7.96667;12.7333;8.46667;14.5667,9.2193;9.45304;10.4326;9.21352;7.57048;9.30406;8.77091;9.13139;8.57781,17.7333;16.8333;10.9333
IQL,126,14.914814814814815,9.536099198764106,0.03333333333333333,0.03333333333333333,0,14.914814814814815,9.536099198764106,0.03333333333333333,0.03333333333333333,0,14.914814814814815,9.536099198764106,0.05185185185185185,0.044444444444444446,19.8333;21.4333;18.7;18.3667;16.2;6.86667;11.8667;10.8333;10.1333,6.79747;7.59247;9.64071;9.21768;7.11993;7.66261;8.17204;7.65978;9.67724,20.6333;17.7556;9.925,19.8333;21.4333;18.7;18.3667;16.2;6.86667;11.8667;10.8333;10.1333,6.79747;7.59247;9.64071;9.21768;7.11993;7.66261;8.17204;7.65978;9.67724,20.6333;17.7556;9.925,19.8333;21.4333;18.7;18.3667;16.2;6.86667;11.8667;10.8333;10.1333,6.79747;7.59247;9.64071;9.21768;7.11993;7.66261;8.17204;7.65978;9.67724,20.6333;17.7556;9.925
IQL,127,14.722222222222221,9.701119955709325,0.02666666666666667,0.023333333333333334,0,14.722222222222221,9.701119955709325,0.02666666666666667,0.023333333333333334,0,14.722222222222221,9.701119955709325,0.037037037037037035,0.025925925925925925,16.5333;20.2333;18.6;18.4;14.3;12.0667;9.86667;11.9;10.6,8.65923;9.20755;7.54807;8.44038;8.98944;8.44564;10.5916;9.63795;9.15642,18.3833;17.1;11.1083,16.5333;20.2333;18.6;18.4;14.3;12.0667;9.86667;11.9;10.6,8.65923;9.20755;7.54807;8.44038;8.98944;8.44564;10.5916;9.63795;9.15642,18.3833;17.1;11.1083,16.5333;20.2333;18.6;18.4;14.3;12.0667;9.86667;11.9;10.6,8.65923;9.20755;7.54807;8.44038;8.98944;8.44564;10.5916;9.63795;9.15642,18.3833;17.1;11.1083
IQL,128,13.114814814814816,9.33282552998361,0.041666666666666664,0.03333333333333333,0,13.114814814814816,9.33282552998361,0.041666666666666664,0.03333333333333333,0,13.114814814814816,9.33282552998361,0.04814814814814815,0.02962962962962963,12.8;17.0333;13.1667;15;17.2;10.3667;8.03333;9.83333;14.6,9.7242;10.0515;7.19761;7.53658;6.16117;9.85388;8.92742;9.93339;9.17824,14.9167;15.1222;10.7083,12.8;17.0333;13.1667;15;17.2;10.3667;8.03333;9.83333;14.6,9.7242;10.0515;7.19761;7.53658;6.16117;9.85388;8.92742;9.93339;9.17824,14.9167;15.1222;10.7083,12.8;17.0333;13.1667;15;17.2;10.3667;8.03333;9.83333;14.6,9.7242;10.0515;7.19761;7.53658;6.16117;9.85388;8.92742;9.93339;9.17824,14.9167;15.1222;10.7083
IQL,129,12.007407407407408,9.19701746847861,0.056666666666666664,0.021666666666666667,0,12.007407407407408,9.19701746847861,0.056666666666666664,0.021666666666666667,0,12.007407407407408,9.19701746847861,0.1037037037037037,0.022222222222222223,10.2667;16.8333;11.4333;15.1333;12.5667;8.86667;10.6;8.43333;13.9333,7.58478;8.66057;8.61659;9.88175;8.13914;10.171;9.7591;8.50758;7.37985,13.55;13.0444;10.4583,10.2667;16.8333;11.4333;15.1333;12.5667;8.86667;10.6;8.43333;13.9333,7.58478;8.66057;8.61659;9.88175;8.13914;10.171;9.7591;8.50758;7.37985,13.55;13.0444;10.4583,10.2667;16.8333;11.4333;15.1333;12.5667;8.86667;10.6;8.43333;13.9333,7.58478;8.66057;8.61659;9.88175;8.13914;10.171;9.7591;8.50758;7.37985,13.55;13.0444;10.4583
IQL,130,12.170370370370371,9.221585579691084,0.043333333333333335,0.028333333333333332,0,12.170370370370371,9.221585579691084,0.043333333333333335,0.028333333333333332,0,12.170370370370371,9.221585579691084,0.07407407407407407,0.014814814814814815,13.1667;16.5333;11.4;11.8667;15.4;10.8667;9.3;10.9;10.1,8.50131;7.9613;8.56582;7.99055;8.53854;9.47183;10.4535;8.74204;9.85681,14.85;12.8889;10.2917,13.1667;16.5333;11.4;11.8667;15.4;10.8667;9.3;10.9;10.1,8.50131;7.9613;8.56582;7.99055;8.53854;9.47183;10.4535;8.74204;9.85681,14.85;12.8889;10.2917,13.1667;16.5333;11.4;11.8667;15.4;10.8667;9.3;10.9;10.1,8.50131;7.9613;8.56582;7.99055;8.53854;9.47183;10.4535;8.74204;9.85681,14.85;12.8889;10.2917
IQL,131,12.874074074074073,9.395767076586987,0.043333333333333335,0.023333333333333334,0,12.874074074074073,9.395767076586987,0.043333333333333335,0.023333333333333334,0,12.874074074074073,9.395767076586987,0.07037037037037037,0.040740740740740744,16.5333;18.7333;13.1;12.5;16.8;7.7;10.2;8.23333;12.0667,10.8834;7.57158;7.57342;6.98451;7.28194;8.77553;10.355;8.93563;8.72137,17.6333;14.1333;9.55,16.5333;18.7333;13.1;12.5;16.8;7.7;10.2;8.23333;12.0667,10.8834;7.57158;7.57342;6.98451;7.28194;8.77553;10.355;8.93563;8.72137,17.6333;14.1333;9.55,16.5333;18.7333;13.1;12.5;16.8;7.7;10.2;8.23333;12.0667,10.8834;7.57158;7.57342;6.98451;7.28194;8.77553;10.355;8.93563;8.72137,17.6333;14.1333;9.55
IQL,132,13.28888888888889,9.204561402765693,0.04,0.013333333333333334,0,13.28888888888889,9.204561402765693,0.04,0.013333333333333334,0,13.28888888888889,9.204561402765693,0.05925925925925926,0.018518518518518517,18.0667;18.1;11.0333;11.8667;17.4333;10.2;9.03333;10.6667;13.2,7.46071;7.38625;7.44528;9.47535;8.22064;11.5539;7.49437;8.36793;8.66179,18.0833;13.4444;10.775,18.0667;18.1;11.0333;11.8667;17.4333;10.2;9.03333;10.6667;13.2,7.46071;7.38625;7.44528;9.47535;8.22064;11.5539;7.49437;8.36793;8.66179,18.0833;13.4444;10.775,18.0667;18.1;11.0333;11.8667;17.4333;10.2;9.03333;10.6667;13.2,7.46071;7.38625;7.44528;9.47535;8.22064;11.5539;7.49437;8.36793;8.66179,18.0833;13.4444;10.775
IQL,133,13.733333333333333,9.160866852076907,0.03833333333333333,0.02666666666666667,0,13.733333333333333,9.160866852076907,0.03833333333333333,0.02666666666666667,0,13.733333333333333,9.160866852076907,0.05185185185185185,0.03333333333333333,14.2333;18.3333;16.0333;14.1667;12.1667;8.43333;14.5333;12.4667;13.2333,8.36135;5.92359;8.53808;8.81318;7.48369;9.07261;10.0821;9.59768;10.3784,16.2833;14.1222;12.1667,14.2333;18.3333;16.0333;14.1667;12.1667;8.43333;14.5333;12.4667;13.2333,8.36135;5.92359;8.53808;8.81318;7.48369;9.07261;10.0821;9.59768;10.3784,16.2833;14.1222;12.1667,14.2333;18.3333;16.0333;14.1667;12.1667;8.43333;14.5333;12.4667;13.2333,8.36135;5.92359;8.53808;8.81318;7.48369;9.07261;10.0821;9.59768;10.3784,16.2833;14.1222;12.1667
IQL,134,12.903703703703703,9.144416692876,0.06,0.023333333333333334,0,12.903703703703703,9.144416692876,0.06,0.023333333333333334,0,12.903703703703703,9.144416692876,0.08518518518518518,0.018518518518518517,15.5667;17.9667;11.5333;11.0667;14.2333;8.83333;10.2333;12.0333;14.6667,8.81545;8.22388;8.73206;7.87373;8.20034;9.5989;10.072;9.50959;7.10086,16.7667;12.2778;11.4417,15.5667;17.9667;11.5333;11.0667;14.2333;8.83333;10.2333;12.0333;14.6667,8.81545;8.22388;8.73206;7.87373;8.20034;9.5989;10.072;9.50959;7.10086,16.7667;12.2778;11.4417,15.5667;17.9667;11.5333;11.0667;14.2333;8.83333;10.2333;12.0333;14.6667,8.81545;8.22388;8.73206;7.87373;8.20034;9.5989;10.072;9.50959;7.10086,16.7667;12.2778;11.4417
IQL,135,13.696296296296296,9.134204398100723,0.035,0.02666666666666667,0,13.696296296296296,9.134204398100723,0.035,0.02666666666666667,0,13.696296296296296,9.134204398100723,0.04814814814814815,0.037037037037037035,15.1;19.3;15.6667;14.6;16.2;12.9;8.16667;11.6;9.73333,7.2496;7.97977;8.45117;7.35572;8.12978;11.2112;7.47031;10.6195;7.28896,17.2;15.4889;10.6,15.1;19.3;15.6667;14.6;16.2;12.9;8.16667;11.6;9.73333,7.2496;7.97977;8.45117;7.35572;8.12978;11.2112;7.47031;10.6195;7.28896,17.2;15.4889;10.6,15.1;19.3;15.6667;14.6;16.2;12.9;8.16667;11.6;9.73333,7.2496;7.97977;8.45117;7.35572;8.12978;11.2112;7.47031;10.6195;7.28896,17.2;15.4889;10.6
IQL,136,13.055555555555555,9.191817348753156,0.045,0.005,0,13.055555555555555,9.191817348753156,0.045,0.005,0,13.055555555555555,9.191817348753156,0.07037037037037037,0.0,18.3667;17.8;15.2667;13.4667;15.5333;6.33333;10.4667;9.2;11.0667,8.2925;9.33238;6.48554;7.64955;8.28144;7.61285;9.12408;9.22099;8.74808,18.0833;14.7556;9.26667,18.3667;17.8;15.2667;13.4667;15.5333;6.33333;10.4667;9.2;11.0667,8.2925;9.33238;6.48554;7.64955;8.28144;7.61285;9.12408;9.22099;8.74808,18.0833;14.7556;9.26667,18.3667;17.8;15.2667;13.4667;15.5333;6.33333;10.4667;9.2;11.0667,8.2925;9.33238;6.48554;7.64955;8.28144;7.61285;9.12408;9.22099;8.74808,18.0833;14.7556;9.26667
IQL,137,13.451851851851853,9.443177838087973,0.08166666666666667,0.023333333333333334,0,13.451851851851853,9.443177838087973,0.08166666666666667,0.023333333333333334,0,13.451851851851853,9.443177838087973,0.14814814814814814,0.037037037037037035,19.7;18.9667;14.1;14.5667;15.1;7.26667;12.3667;8.8;10.2,6.21369;8.15469;6.9491;6.82487;9.19184;9.87905;11.2145;9.79251;7.30479,19.3333;14.5889;9.65833,19.7;18.9667;14.1;14.5667;15.1;7.26667;12.3667;8.8;10.2,6.21369;8.15469;6.9491;6.82487;9.19184;9.87905;11.2145;9.79251;7.30479,19.3333;14.5889;9.65833,19.7;18.9667;14.1;14.5667;15.1;7.26667;12.3667;8.8;10.2,6.21369;8.15469;6.9491;6.82487;9.19184;9.87905;11.2145;9.79251;7.30479,19.3333;14.5889;9.65833
IQL,138,14.27037037037037,9.443646298881664,0.05,0.04833333333333333,0,14.27037037037037,9.443646298881664,0.05,0.04833333333333333,0,14.27037037037037,9.443646298881664,0.07777777777777778,0.037037037037037035,22.2;21.3;12.1;11.9333;16.6333;10;8.43333;10.3667;15.4667,8.39206;6.05062;8.26378;7.58478;8.63899;10.4499;6.6917;9.09389;7.83893,21.75;13.5556;11.0667,22.2;21.3;12.1;11.9333;16.6333;10;8.43333;10.3667;15.4667,8.39206;6.05062;8.26378;7.58478;8.63899;10.4499;6.6917;9.09389;7.83893,21.75;13.5556;11.0667,22.2;21.3;12.1;11.9333;16.6333;10;8.43333;10.3667;15.4667,8.39206;6.05062;8.26378;7.58478;8.63899;10.4499;6.6917;9.09389;7.83893,21.75;13.5556;11.0667
IQL,139,13.548148148148147,9.416076495581624,0.08333333333333333,0.028333333333333332,0,13.548148148148147,9.416076495581624,0.08333333333333333,0.028333333333333332,0,13.548148148148147,9.416076495581624,0.11851851851851852,0.02962962962962963,17.7333;19.5333;14.9333;10.5667;13.4;10.9333;7.96667;9.06667;17.8,8.66385;7.19599;10.7825;7.23733;7.95236;10.9937;7.57401;9.19758;6.00777,18.6333;12.9667;11.4417,17.7333;19.5333;14.9333;10.5667;13.4;10.9333;7.96667;9.06667;17.8,8.66385;7.19599;10.7825;7.23733;7.95236;10.9937;7.57401;9.19758;6.00777,18.6333;12.9667;11.4417,17.7333;19.5333;14.9333;10.5667;13.4;10.9333;7.96667;9.06667;17.8,8.66385;7.19599;10.7825;7.23733;7.95236;10.9937;7.57401;9.19758;6.00777,18.6333;12.9667;11.4417
IQL,140,13.377777777777778,9.085084778476135,0.04666666666666667,0.021666666666666667,0,13.377777777777778,9.085084778476135,0.04666666666666667,0.021666666666666667,0,13.377777777777778,9.085084778476135,0.08888888888888889,0.018518518518518517,15.6;19.5667;14.2667;12.2333;16.9667;7.03333;7.93333;10.2;16.6,7.60526;9.37615;6.21253;7.97782;7.66152;7.96443;7.51857;9.75842;8.50725,17.5833;14.4889;10.4417,15.6;19.5667;14.2667;12.2333;16.9667;7.03333;7.93333;10.2;16.6,7.60526;9.37615;6.21253;7.97782;7.66152;7.96443;7.51857;9.75842;8.50725,17.5833;14.4889;10.4417,15.6;19.5667;14.2667;12.2333;16.9667;7.03333;7.93333;10.2;16.6,7.60526;9.37615;6.21253;7.97782;7.66152;7.96443;7.51857;9.75842;8.50725,17.5833;14.4889;10.4417
IQL,141,12.41851851851852,9.67005829531768,0.07833333333333334,0.018333333333333333,0,12.41851851851852,9.67005829531768,0.07833333333333334,0.018333333333333333,0,12.41851851851852,9.67005829531768,0.14444444444444443,0.014814814814814815,16.3333;15.2333;15.0667;12.2;16.3333;5.86667;8.5;8.93333;13.3,8.40767;9.71145;8.00805;9.16297;8.16633;8.57023;9.83785;10.4369;8.11234,15.7833;14.5333;9.15,16.3333;15.2333;15.0667;12.2;16.3333;5.86667;8.5;8.93333;13.3,8.40767;9.71145;8.00805;9.16297;8.16633;8.57023;9.83785;10.4369;8.11234,15.7833;14.5333;9.15,16.3333;15.2333;15.0667;12.2;16.3333;5.86667;8.5;8.93333;13.3,8.40767;9.71145;8.00805;9.16297;8.16633;8.57023;9.83785;10.4369;8.11234,15.7833;14.5333;9.15
