algorithm,episode,global_step,episode_reward_sum,episode_reward_mean_per_step,episode_length,update_count,epsilon,buffer_size,loss,policy_loss,value_loss,entropy,avg_cost_per_step,avg_weighted_total_cost_per_step,avg_inventory_cost_per_step,avg_routing_cost_per_step,transport_weight,total_inventory_cost,total_transport,routing_cost,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,total_holding,total_backlog,avg_pipeline,weighted_total_cost
IQL,1,30,-1.1414551269427704,-0.03804850423142568,30,0,0.9968333333333333,30,,,,,898.6966932824151,898.6966932824151,898.6966932824151,0.0,0.0,26960.900798472456,0.0,0.0,0.0,0.0,1.0,0.9767378918738473,0.023262108126152703,5.551772131389049,25899.673456366807,1061.2273421056502,11.965654463180435,26960.900798472456
IQL,2,60,-38.314074194403986,-1.2771358064801328,30,0,0.9936666666666667,60,,,,,924.5385562812195,924.5385562812195,924.5385562812195,0.0,0.0,27736.156688436586,0.0,0.0,0.0,0.0,1.0,0.8943925629063582,0.10560743709364184,4.8630824567854205,22054.132207902985,5682.024480533601,10.402666666666667,27736.156688436586
IQL,3,90,-20.470718600703876,-0.6823572866901292,30,0,0.9905,90,,,,,861.0784894655706,861.0784894655706,861.0784894655706,0.0,0.0,25832.354683967118,0.0,0.0,0.0,0.0,1.0,0.8978321638034119,0.10216783619658809,4.5697742449917795,22806.593298621916,3025.7613853452017,10.39172752034388,25832.354683967118
IQL,4,120,-17.557734961622778,-0.5852578320540925,30,0,0.9873333333333333,120,,,,,917.8479218276176,917.8479218276176,917.8479218276176,0.0,0.0,27535.43765482853,0.0,0.0,0.0,0.0,1.0,0.9293330600950287,0.0706669399049713,4.749091260825143,25222.280315998454,2313.1573388300753,11.090935689502137,27535.43765482853
IQL,5,150,-2.6891139411696736,-0.08963713137232246,30,0,0.9841666666666666,150,,,,,901.7137289523955,901.7137289523955,901.7137289523955,0.0,0.0,27051.411868571864,0.0,0.0,0.0,0.0,1.0,0.9734442270161228,0.026555772983877235,5.718600566949303,26152.23437407279,899.1774944990743,11.51880951058862,27051.411868571864
IQL,6,180,-9.704803232275527,-0.3234934410758509,30,0,0.981,180,,,,,767.265502524991,767.265502524991,767.265502524991,0.0,0.0,23017.96507574973,0.0,0.0,0.0,0.0,1.0,0.9238463544627968,0.07615364553720316,5.353411284651179,20899.607472757165,2118.3576029925644,9.47558400494347,23017.96507574973
IQL,7,210,-0.09219133541385749,-0.0030730445137952494,30,0,0.9778333333333333,210,,,,,887.3468986893569,887.3468986893569,887.3468986893569,0.0,0.0,26620.406960680706,0.0,0.0,0.0,0.0,1.0,0.9576567473495975,0.04234325265040251,3.5758460960947054,25754.492255807905,865.9147048728,11.631907052383243,26620.406960680706
IQL,8,240,-26.060158205363877,-0.8686719401787959,30,0,0.9746666666666667,240,,,,,933.9262236394993,933.9262236394993,933.9262236394993,0.0,0.0,28017.78670918498,0.0,0.0,0.0,0.0,1.0,0.9075145068126861,0.09248549318731392,4.902887273254325,23925.536621979038,4092.250087205942,11.387173798677027,28017.78670918498
IQL,9,270,-17.128401349694798,-0.5709467116564932,30,0,0.9715,270,,,,,853.6784216139248,853.6784216139248,853.6784216139248,0.0,0.0,25610.352648417746,0.0,0.0,0.0,0.0,1.0,0.8964384312174186,0.10356156878258138,5.952845043559188,22769.601654786864,2840.7509936308816,10.434351851851853,25610.352648417746
IQL,10,300,-16.13326268229807,-0.5377754227432691,30,0,0.9683333333333334,300,,,,,943.856127831526,943.856127831526,943.856127831526,0.0,0.0,28315.68383494578,0.0,0.0,0.0,0.0,1.0,0.9299145294942468,0.0700854705057532,4.497832525985775,26295.331965753343,2020.3518691924376,10.45928791887125,28315.68383494578
