"config","algorithm","avg_cost_per_step","avg_fill_rate","avg_stockout_rate","avg_bullwhip_cv","avg_transport_per_step","avg_route_distance_per_step","routing_feasible_rate","runtime_sec"
"env_2layers_hard","BaseStock","577.8666666666667","0.48507502362928484","0.5149249763707152","1.847748088319267","0.0","0.0","1.0","0.0165860652923584"
"env_2layers_hard","(s,S)","624.6777777777778","0.460667932907365","0.539332067092635","2.492206865269361","0.0","0.0","1.0","0.015019655227661133"
"env_2layers_hard","BaseStock+Savings","602.4885612000613","0.48507502362928484","0.5149249763707152","1.847748088319267","24.621894533394652","24.621894533394652","1.0","0.020518064498901367"
"env_2layers_hard","(s,S)+Savings","646.0090580747182","0.460667932907365","0.539332067092635","2.492206865269361","21.331280296940395","21.331280296940395","1.0","0.019299983978271484"
"env_2layers_hard","BaseStock+Savings2Opt","602.4885612000613","0.48507502362928484","0.5149249763707152","1.847748088319267","24.621894533394652","24.621894533394652","1.0","0.024478435516357422"
"env_2layers_hard","(s,S)+Savings2Opt","646.0090580747182","0.460667932907365","0.539332067092635","2.492206865269361","21.331280296940395","21.331280296940395","1.0","0.023355960845947266"
"env_2layers_hard","BaseStock+NearestInsertion","602.4885612000613","0.48507502362928484","0.5149249763707152","1.847748088319267","24.621894533394652","24.621894533394652","1.0","0.023282527923583984"
"env_2layers_hard","(s,S)+NearestInsertion","646.0090580747182","0.460667932907365","0.539332067092635","2.492206865269361","21.331280296940395","21.331280296940395","1.0","0.025061607360839844"
"env_2layers_hard","BaseStock+GARouting","602.4885612000613","0.48507502362928484","0.5149249763707152","1.847748088319267","24.621894533394652","24.621894533394652","1.0","2.413477659225464"
"env_2layers_hard","(s,S)+GARouting","646.0090580747182","0.460667932907365","0.539332067092635","2.492206865269361","21.331280296940395","21.331280296940395","1.0","2.0294764041900635"
"env_2layers_hard","GAInventory+Savings","184.66816797346826","0.9019626143320781","0.09803738566792197","2.1904004416359526","55.74594575124603","55.74594575124603","1.0","0.5754945278167725"
"env_2layers_hard","GAInventory+Savings2Opt","184.66816797346826","0.9019626143320781","0.09803738566792197","2.1904004416359526","55.74594575124603","55.74594575124603","1.0","0.5723414421081543"
"env_2layers_hard","ALNSInventory+Savings","180.98568694911123","0.921761464288263","0.078238535711737","3.2337017135033697","57.263464726889005","57.263464726889005","1.0","0.15238070487976074"
"env_2layers_hard","ALNSInventory+Savings2Opt","180.98568694911123","0.921761464288263","0.078238535711737","3.2337017135033697","57.263464726889005","57.263464726889005","1.0","0.15207576751708984"
"env_2layers_hard","ALNS-IRP","188.77457583800012","0.9175849620652811","0.08241503793471898","3.234745245724747","57.54124250466679","57.54124250466679","1.0","0.5473136901855469"
"env_2layers_hard","MILP","89.76666666666667","1.0","0.0","1.2824196448784002","0.0","0.0","1.0","3.6178834438323975"
"env_2layers","BaseStock","402.5666666666666","0.5224492375824146","0.47755076241758543","3.9593148539228444","0.0","0.0","1.0","0.02054762840270996"
"env_2layers","(s,S)","460.77777777777777","0.4954354528376436","0.5045645471623563","4.755803067239347","0.0","0.0","1.0","0.015608072280883789"
"env_2layers","BaseStock+Savings","424.1026502101863","0.5224492375824146","0.47755076241758543","3.9593148539228444","21.53598354351965","21.53598354351965","1.0","0.02180004119873047"
"env_2layers","(s,S)+Savings","479.7727261127582","0.4954354528376436","0.5045645471623563","4.755803067239347","18.99494833498043","18.99494833498043","1.0","0.02018570899963379"
"env_2layers","BaseStock+Savings2Opt","424.1026502101863","0.5224492375824146","0.47755076241758543","3.9593148539228444","21.53598354351965","21.53598354351965","1.0","0.0257723331451416"
"env_2layers","(s,S)+Savings2Opt","479.7727261127582","0.4954354528376436","0.5045645471623563","4.755803067239347","18.99494833498043","18.99494833498043","1.0","0.023298263549804688"
"env_2layers","BaseStock+NearestInsertion","424.1026502101863","0.5224492375824146","0.47755076241758543","3.9593148539228444","21.53598354351965","21.53598354351965","1.0","0.03230738639831543"
"env_2layers","(s,S)+NearestInsertion","479.7727261127582","0.4954354528376436","0.5045645471623563","4.755803067239347","18.99494833498043","18.99494833498043","1.0","0.023203134536743164"
"env_2layers","BaseStock+GARouting","424.1026502101863","0.5224492375824146","0.47755076241758543","3.9593148539228444","21.53598354351965","21.53598354351965","1.0","2.438826560974121"
"env_2layers","(s,S)+GARouting","479.7727261127582","0.4954354528376436","0.5045645471623563","4.755803067239347","18.99494833498043","18.99494833498043","1.0","2.053068161010742"
"env_2layers","GAInventory+Savings","180.33783326876156","0.936349000286404","0.06365099971359611","3.363586576716635","56.082277713206","56.082277713206","1.0","0.6546530723571777"
"env_2layers","GAInventory+Savings2Opt","180.33783326876156","0.936349000286404","0.06365099971359611","3.363586576716635","56.082277713206","56.082277713206","1.0","0.6519474983215332"
"env_2layers","ALNSInventory+Savings","193.0057732164895","0.9241401785692585","0.07585982143074159","3.5558959766644187","56.294662105378386","56.294662105378386","1.0","0.19146037101745605"
"env_2layers","ALNSInventory+Savings2Opt","193.0057732164895","0.9241401785692585","0.07585982143074159","3.5558959766644187","56.294662105378386","56.294662105378386","1.0","0.1752948760986328"
"env_2layers","ALNS-IRP","183.5079091713334","0.9244295020630965","0.07557049793690351","3.753148193374025","56.263464726889","56.263464726889","1.0","0.5565550327301025"
"env_2layers","MILP","102.67777777777776","1.0","0.0","1.737238763346194","0.0","0.0","1.0","3.040545701980591"
"env_3layers_hard","BaseStock","2740.988888888889","0.5118171109664057","0.48818288903359425","3.3111708428872912","0.0","0.0","1.0","0.02150416374206543"
"env_3layers_hard","(s,S)","2914.511111111111","0.4990628971219497","0.5009371028780504","3.9988823049010365","0.0","0.0","1.0","0.02348804473876953"
"env_3layers_hard","BaseStock+Savings","2794.672912679273","0.5118171109664057","0.48818288903359425","3.3111708428872912","53.68402379038411","53.68402379038411","1.0","0.03248739242553711"
"env_3layers_hard","(s,S)+Savings","2955.257898806527","0.4990628971219497","0.5009371028780504","3.9988823049010365","40.74678769541595","40.74678769541595","1.0","0.030307292938232422"
"env_3layers_hard","BaseStock+Savings2Opt","2794.672912679273","0.5118171109664057","0.48818288903359425","3.3111708428872912","53.68402379038411","53.68402379038411","1.0","0.03247809410095215"
"env_3layers_hard","(s,S)+Savings2Opt","2955.257898806527","0.4990628971219497","0.5009371028780504","3.9988823049010365","40.74678769541595","40.74678769541595","1.0","0.02714228630065918"
"env_3layers_hard","BaseStock+NearestInsertion","2794.672912679273","0.5118171109664057","0.48818288903359425","3.3111708428872912","53.68402379038411","53.68402379038411","1.0","0.027922391891479492"
"env_3layers_hard","(s,S)+NearestInsertion","2955.257898806527","0.4990628971219497","0.5009371028780504","3.9988823049010365","40.74678769541595","40.74678769541595","1.0","0.026459455490112305"
"env_3layers_hard","BaseStock+GARouting","2794.672912679273","0.5118171109664057","0.48818288903359425","3.3111708428872912","53.68402379038411","53.68402379038411","1.0","5.114957094192505"
