algorithm,episode,rl_mean_action,rl_std_action,rl_zero_action_rate,rl_max_action_rate,rl_invalid_action_count,exec_mean_action,exec_std_action,exec_zero_action_rate,exec_max_action_rate,exec_invalid_action_count,rl_per_node_mean_action,rl_per_node_std_action,rl_per_layer_mean_action,exec_per_node_mean_action,exec_per_node_std_action,exec_per_layer_mean_action
MAPPO-GNN,15,21.81111111111111,12.931066047925148,0.038461538461538464,0.038461538461538464,0,21.81111111111111,12.931066047925148,0.038461538461538464,0.038461538461538464,0,15.9667;16.4333;29.4667;29.0667;15.2667;14.9667;28.2667;30.8667;16,9.60376;8.48404;14.6963;14.2547;8.32239;7.98533;11.7159;11.4622;9.91968,16.2;24.6;22.525,15.9667;16.4333;29.4667;29.0667;15.2667;14.9667;28.2667;30.8667;16,9.60376;8.48404;14.6963;14.2547;8.32239;7.98533;11.7159;11.4622;9.91968,16.2;24.6;22.525
MAPPO-GNN,16,20.94814814814815,12.10192425380025,0.028205128205128206,0.03076923076923077,0,20.94814814814815,12.10192425380025,0.028205128205128206,0.03076923076923077,0,11.4333;16.5333;29.6333;26.5667;15.2;14.4667;32.4;27.2667;15.0333,8.17184;8.08593;10.5467;10.0985;8.99407;8.35358;12.2055;9.51116;9.19233,13.9833;23.8;22.2917,11.4333;16.5333;29.6333;26.5667;15.2;14.4667;32.4;27.2667;15.0333,8.17184;8.08593;10.5467;10.0985;8.99407;8.35358;12.2055;9.51116;9.19233,13.9833;23.8;22.2917
MAPPO-GNN,17,21.762962962962963,13.465295533832263,0.023076923076923078,0.035897435897435895,0,21.762962962962963,13.465295533832263,0.023076923076923078,0.035897435897435895,0,12.2667;14.6667;30.5;28.3;14.3667;15.7;32.1667;31.6;16.3,8.25402;7.88388;12.1867;12.9026;7.89719;8.73365;12.7543;15.448;7.78952,13.4667;24.3889;23.9417,12.2667;14.6667;30.5;28.3;14.3667;15.7;32.1667;31.6;16.3,8.25402;7.88388;12.1867;12.9026;7.89719;8.73365;12.7543;15.448;7.78952,13.4667;24.3889;23.9417
MAPPO-GNN,18,22.485185185185184,12.738602856808287,0.03333333333333333,0.028205128205128206,0,22.485185185185184,12.738602856808287,0.03333333333333333,0.028205128205128206,0,19.0667;17.4333;29.3667;30.7333;15.0667;17.5333;27.5667;29.4667;16.1333,9.33786;8.65518;13.083;11.4016;8.63687;7.80057;14.7325;14.5871;9.21135,18.25;25.0556;22.675,19.0667;17.4333;29.3667;30.7333;15.0667;17.5333;27.5667;29.4667;16.1333,9.33786;8.65518;13.083;11.4016;8.63687;7.80057;14.7325;14.5871;9.21135,18.25;25.0556;22.675
MAPPO-GNN,19,21.892592592592592,14.099367622433913,0.038461538461538464,0.046153846153846156,0,21.892592592592592,14.099367622433913,0.038461538461538464,0.046153846153846156,0,12.8667;15.9333;29.5667;30.8667;13.6333;12.2;32.3;34.7;14.9667,8.25321;8.4417;13.3783;13.4356;8.20765;9.06789;12.4637;13.297;8.34459,14.4;24.6889;23.5417,12.8667;15.9333;29.5667;30.8667;13.6333;12.2;32.3;34.7;14.9667,8.25321;8.4417;13.3783;13.4356;8.20765;9.06789;12.4637;13.297;8.34459,14.4;24.6889;23.5417
MAPPO-GNN,20,22.33703703703704,13.118029666530015,0.017948717948717947,0.017948717948717947,0,22.33703703703704,13.118029666530015,0.017948717948717947,0.017948717948717947,0,11.7;16.2333;30.3333;29.3333;14.9333;16.6333;37.0333;29.6667;15.1667,7.12344;8.72805;11.4727;12.1911;8.91416;7.15301;11.5628;10.3452;9.92332,13.9667;24.8667;24.625,11.7;16.2333;30.3333;29.3333;14.9333;16.6333;37.0333;29.6667;15.1667,7.12344;8.72805;11.4727;12.1911;8.91416;7.15301;11.5628;10.3452;9.92332,13.9667;24.8667;24.625
MAPPO-GNN,21,22.625925925925927,13.766198339964951,0.035897435897435895,0.028205128205128206,0,22.625925925925927,13.766198339964951,0.035897435897435895,0.028205128205128206,0,16.3667;12.9;33.0333;32.2333;14.8333;14.0333;33.4667;33.4;13.3667,8.59257;8.49058;11.8476;11.9546;7.925;8.30856;10.9871;13.1393;7.93088,14.6333;26.7;23.5667,16.3667;12.9;33.0333;32.2333;14.8333;14.0333;33.4667;33.4;13.3667,8.59257;8.49058;11.8476;11.9546;7.925;8.30856;10.9871;13.1393;7.93088,14.6333;26.7;23.5667
MAPPO-GNN,22,19.81851851851852,12.929167056240537,0.041025641025641026,0.023076923076923078,0,19.81851851851852,12.929167056240537,0.041025641025641026,0.023076923076923078,0,13.3333;14.8667;27.4667;24.9667;11.6667;15.2333;25.5667;32.2333;13.0333,8.19485;9.82084;13.0301;14.312;7.13832;8.43281;14.0752;11.3833;6.65073,14.1;21.3667;21.5167,13.3333;14.8667;27.4667;24.9667;11.6667;15.2333;25.5667;32.2333;13.0333,8.19485;9.82084;13.0301;14.312;7.13832;8.43281;14.0752;11.3833;6.65073,14.1;21.3667;21.5167
MAPPO-GNN,23,21.877777777777776,13.412675965041796,0.03333333333333333,0.04871794871794872,0,21.877777777777776,13.412675965041796,0.03333333333333333,0.04871794871794872,0,13.5;14.2333;30.1;32.3;12.7;15.4333;30.1;32.7333;15.8,10.2526;9.15672;11.464;13.4936;9.57479;8.11863;9.98449;10.4529;9.85359,13.8667;25.0333;23.5167,13.5;14.2333;30.1;32.3;12.7;15.4333;30.1;32.7333;15.8,10.2526;9.15672;11.464;13.4936;9.57479;8.11863;9.98449;10.4529;9.85359,13.8667;25.0333;23.5167
MAPPO-GNN,24,22.011111111111113,12.970188991265154,0.02564102564102564,0.03333333333333333,0,22.011111111111113,12.970188991265154,0.02564102564102564,0.03333333333333333,0,15.1;16.7;28.4667;30.4333;15.4333;12.8667;32.2333;32.4667;14.4,9.10806;9.08534;11.3188;11.9518;8.65904;8.77395;12.6746;10.3722;8.37695,15.9;24.7778;22.9917,15.1;16.7;28.4667;30.4333;15.4333;12.8667;32.2333;32.4667;14.4,9.10806;9.08534;11.3188;11.9518;8.65904;8.77395;12.6746;10.3722;8.37695,15.9;24.7778;22.9917
