algorithm,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,2581.875380264344,0.546180083300383,0.4538199166996169,2.213378311736704,0.0,0.0,1.0,0.021633386611938477
"(s,S)",2768.737480924749,0.5112956334263331,0.48870436657366684,2.5141867092821752,0.0,0.0,1.0,0.021608829498291016
BaseStock+Savings,2637.7944627356273,0.546180083300383,0.4538199166996169,2.213378311736704,55.91908247128282,55.91908247128282,1.0,0.027274370193481445
"(s,S)+Savings",2812.455227926133,0.5112956334263331,0.48870436657366684,2.5141867092821752,43.71774700138328,43.71774700138328,1.0,0.027811765670776367
BaseStock+Savings2Opt,2637.7944627356273,0.546180083300383,0.4538199166996169,2.213378311736704,55.91908247128282,55.91908247128282,1.0,0.026779890060424805
"(s,S)+Savings2Opt",2812.455227926133,0.5112956334263331,0.48870436657366684,2.5141867092821752,43.71774700138328,43.71774700138328,1.0,0.026566743850708008
BaseStock+NearestInsertion,2637.7944627356273,0.546180083300383,0.4538199166996169,2.213378311736704,55.91908247128282,55.91908247128282,1.0,0.030214309692382812
"(s,S)+NearestInsertion",2812.455227926133,0.5112956334263331,0.48870436657366684,2.5141867092821752,43.71774700138328,43.71774700138328,1.0,0.027634143829345703
BaseStock+GARouting,2637.7944627356273,0.546180083300383,0.4538199166996169,2.213378311736704,55.91908247128282,55.91908247128282,1.0,5.41003155708313
"(s,S)+GARouting",2812.455227926133,0.5112956334263331,0.48870436657366684,2.5141867092821752,43.71774700138328,43.71774700138328,1.0,3.9707601070404053
GAInventory+Savings,885.4447451119222,0.9016483172692737,0.09835168273072621,1.6182417419179729,113.72705383145454,113.72705383145454,1.0,0.6719009876251221
GAInventory+Savings2Opt,885.4447451119222,0.9016483172692737,0.09835168273072621,1.6182417419179729,113.72705383145454,113.72705383145454,1.0,0.6174683570861816
ALNSInventory+Savings,819.937994281852,0.8874438554671552,0.11255614453284472,1.800157656587795,118.98094622828303,118.98094622828303,1.0,0.19573235511779785
ALNSInventory+Savings2Opt,819.937994281852,0.8874438554671552,0.11255614453284472,1.800157656587795,118.98094622828303,118.98094622828303,1.0,0.19491958618164062
ALNS-IRP,808.5908503466486,0.9117338319075724,0.08826616809242753,1.8835770832720014,119.97026645406324,119.97026645406324,1.0,0.857947826385498
MILP,379.08324379103124,0.9900850678805707,0.009914932119429213,1.6119297574936822,0.0,0.0,1.0,909.1834888458252
