algorithm,episode,rl_mean_action,rl_std_action,rl_zero_action_rate,rl_max_action_rate,rl_invalid_action_count,exec_mean_action,exec_std_action,exec_zero_action_rate,exec_max_action_rate,exec_invalid_action_count,env_mean_order_qty,env_std_order_qty,env_zero_order_rate,env_max_order_rate,rl_per_node_mean_action,rl_per_node_std_action,rl_per_layer_mean_action,exec_per_node_mean_action,exec_per_node_std_action,exec_per_layer_mean_action,env_per_node_mean_order_qty,env_per_node_std_order_qty,env_per_layer_mean_order_qty
MAPPO,1,16.055555555555557,8.440678985034028,0.023529411764705882,0.041176470588235294,0,16.055555555555557,8.440678985034028,0.023529411764705882,0.041176470588235294,0,16.055555555555557,8.440678985034028,0.022222222222222223,0.02962962962962963,14.8667;15.3333;16.1333;15.1;18.3;18.9667;15.7;15.7333;14.3667,8.55076;9.37491;8.67461;8.03057;7.98812;8.13012;8.21442;8.67154;6.95933,15.1;16.5111;16.1917,14.8667;15.3333;16.1333;15.1;18.3;18.9667;15.7;15.7333;14.3667,8.55076;9.37491;8.67461;8.03057;7.98812;8.13012;8.21442;8.67154;6.95933,15.1;16.5111;16.1917,14.8667;15.3333;16.1333;15.1;18.3;18.9667;15.7;15.7333;14.3667,8.55076;9.37491;8.67461;8.03057;7.98812;8.13012;8.21442;8.67154;6.95933,15.1;16.5111;16.1917
MAPPO,2,14.959259259259259,8.724285357945297,0.03529411764705882,0.03333333333333333,0,14.959259259259259,8.724285357945297,0.03529411764705882,0.03333333333333333,0,14.959259259259259,8.724285357945297,0.02962962962962963,0.040740740740740744,15.3333;15.2667;12.2333;16.3667;14.8333;14;14.6667;17.5333;14.4,10.2999;7.49192;7.03175;8.89001;8.0419;8.47742;8.81035;9.63581;8.34905,15.3;14.4778;15.15,15.3333;15.2667;12.2333;16.3667;14.8333;14;14.6667;17.5333;14.4,10.2999;7.49192;7.03175;8.89001;8.0419;8.47742;8.81035;9.63581;8.34905,15.3;14.4778;15.15,15.3333;15.2667;12.2333;16.3667;14.8333;14;14.6667;17.5333;14.4,10.2999;7.49192;7.03175;8.89001;8.0419;8.47742;8.81035;9.63581;8.34905,15.3;14.4778;15.15
MAPPO,3,14.855555555555556,9.150868541386025,0.023529411764705882,0.027450980392156862,0,14.855555555555556,9.150868541386025,0.023529411764705882,0.027450980392156862,0,14.855555555555556,9.150868541386025,0.018518518518518517,0.037037037037037035,14.4;14.0667;14.4;15.5;14.6;14.7667;15;17.5667;13.4,8.45616;10.0198;9.14549;9.81411;7.90612;9.73544;8.53229;8.53496;9.3723,14.2333;14.8333;15.1833,14.4;14.0667;14.4;15.5;14.6;14.7667;15;17.5667;13.4,8.45616;10.0198;9.14549;9.81411;7.90612;9.73544;8.53229;8.53496;9.3723,14.2333;14.8333;15.1833,14.4;14.0667;14.4;15.5;14.6;14.7667;15;17.5667;13.4,8.45616;10.0198;9.14549;9.81411;7.90612;9.73544;8.53229;8.53496;9.3723,14.2333;14.8333;15.1833
MAPPO,4,15.862962962962962,9.127883538231474,0.03529411764705882,0.047058823529411764,0,15.862962962962962,9.127883538231474,0.03529411764705882,0.047058823529411764,0,15.862962962962962,9.127883538231474,0.040740740740740744,0.05555555555555555,13.3333;15.0333;18.2667;17.5;14.7;15.5667;13.8333;16.1667;18.3667,9.71368;8.19139;9.10287;7.40158;9.70962;8.77376;10.3604;8.896;8.09726,14.1833;16.8222;15.9833,13.3333;15.0333;18.2667;17.5;14.7;15.5667;13.8333;16.1667;18.3667,9.71368;8.19139;9.10287;7.40158;9.70962;8.77376;10.3604;8.896;8.09726,14.1833;16.8222;15.9833,13.3333;15.0333;18.2667;17.5;14.7;15.5667;13.8333;16.1667;18.3667,9.71368;8.19139;9.10287;7.40158;9.70962;8.77376;10.3604;8.896;8.09726,14.1833;16.8222;15.9833
MAPPO,5,14.203703703703704,9.006540071545603,0.029411764705882353,0.021568627450980392,0,14.203703703703704,9.006540071545603,0.029411764705882353,0.021568627450980392,0,14.203703703703704,9.006540071545603,0.03333333333333333,0.022222222222222223,14.9667;13.8;15.6;13.0333;13.8333;13.5667;14.3667;15.2667;13.4,9.40738;8.24783;8.01083;8.24008;8.54043;9.23285;9.64186;10.9725;7.96911,14.3833;14.1556;14.15,14.9667;13.8;15.6;13.0333;13.8333;13.5667;14.3667;15.2667;13.4,9.40738;8.24783;8.01083;8.24008;8.54043;9.23285;9.64186;10.9725;7.96911,14.3833;14.1556;14.15,14.9667;13.8;15.6;13.0333;13.8333;13.5667;14.3667;15.2667;13.4,9.40738;8.24783;8.01083;8.24008;8.54043;9.23285;9.64186;10.9725;7.96911,14.3833;14.1556;14.15
MAPPO,6,15.825925925925926,8.750622944707363,0.029411764705882353,0.03529411764705882,0,15.825925925925926,8.750622944707363,0.029411764705882353,0.03529411764705882,0,15.825925925925926,8.750622944707363,0.022222222222222223,0.04814814814814815,15.8667;16.8333;14.8333;14.1333;19.8;15.1667;15.9333;15.8333;14.0333,9.18235;9.09609;8.92593;9.44716;7.29109;8.9632;7.51857;8.70281;7.94348,16.35;16.2556;15.2417,15.8667;16.8333;14.8333;14.1333;19.8;15.1667;15.9333;15.8333;14.0333,9.18235;9.09609;8.92593;9.44716;7.29109;8.9632;7.51857;8.70281;7.94348,16.35;16.2556;15.2417,15.8667;16.8333;14.8333;14.1333;19.8;15.1667;15.9333;15.8333;14.0333,9.18235;9.09609;8.92593;9.44716;7.29109;8.9632;7.51857;8.70281;7.94348,16.35;16.2556;15.2417
MAPPO,7,15.766666666666667,9.079137665039601,0.03137254901960784,0.043137254901960784,0,15.766666666666667,9.079137665039601,0.03137254901960784,0.043137254901960784,0,15.766666666666667,9.079137665039601,0.018518518518518517,0.044444444444444446,15.3667;16.4;17.5667;14.9667;16.1;15.6667;15.5;15.6;14.7333,9.16691;9.25779;8.902;9.87415;8.15823;7.4625;9.3086;9.82378;9.17945,15.8833;16.2111;15.375,15.3667;16.4;17.5667;14.9667;16.1;15.6667;15.5;15.6;14.7333,9.16691;9.25779;8.902;9.87415;8.15823;7.4625;9.3086;9.82378;9.17945,15.8833;16.2111;15.375,15.3667;16.4;17.5667;14.9667;16.1;15.6667;15.5;15.6;14.7333,9.16691;9.25779;8.902;9.87415;8.15823;7.4625;9.3086;9.82378;9.17945,15.8833;16.2111;15.375
MAPPO,8,14.055555555555555,9.262462408913906,0.045098039215686274,0.0196078431372549,0,14.055555555555555,9.262462408913906,0.045098039215686274,0.0196078431372549,0,14.055555555555555,9.262462408913906,0.037037037037037035,0.011111111111111112,15.4333;13.3333;14.7;16.1667;13.3333;14.8667;12.5;14.1;12.0667,7.8769;9.93758;9.11464;10.2342;9.98109;9.29779;8.36959;9.20996;8.22976,14.3833;14.7333;13.3833,15.4333;13.3333;14.7;16.1667;13.3333;14.8667;12.5;14.1;12.0667,7.8769;9.93758;9.11464;10.2342;9.98109;9.29779;8.36959;9.20996;8.22976,14.3833;14.7333;13.3833,15.4333;13.3333;14.7;16.1667;13.3333;14.8667;12.5;14.1;12.0667,7.8769;9.93758;9.11464;10.2342;9.98109;9.29779;8.36959;9.20996;8.22976,14.3833;14.7333;13.3833
MAPPO,9,14.333333333333334,8.620389266797128,0.029411764705882353,0.027450980392156862,0,14.333333333333334,8.620389266797128,0.029411764705882353,0.027450980392156862,0,14.333333333333334,8.620389266797128,0.02962962962962963,0.025925925925925925,15.9667;12.2667;11.5;12.9333;16.1333;13.5333;15.1333;15.1333;16.4,8.05598;8.3264;8.42516;8.82396;7.49103;8.50777;9.21135;8.63224;8.45616,14.1167;13.5222;15.05,15.9667;12.2667;11.5;12.9333;16.1333;13.5333;15.1333;15.1333;16.4,8.05598;8.3264;8.42516;8.82396;7.49103;8.50777;9.21135;8.63224;8.45616,14.1167;13.5222;15.05,15.9667;12.2667;11.5;12.9333;16.1333;13.5333;15.1333;15.1333;16.4,8.05598;8.3264;8.42516;8.82396;7.49103;8.50777;9.21135;8.63224;8.45616,14.1167;13.5222;15.05
MAPPO,10,13.514814814814814,8.898905621592059,0.03725490196078431,0.0196078431372549,0,13.514814814814814,8.898905621592059,0.03725490196078431,0.0196078431372549,0,13.514814814814814,8.898905621592059,0.044444444444444446,0.011111111111111112,11.4333;10.1333;14.1333;12.2333;16.2;12.1;14.5333;15.7333;15.1333,8.94309;8.40925;8.90967;9.51029;8.99778;8.41566;7.82617;8.64073;8.30154,10.7833;14.1889;14.375,11.4333;10.1333;14.1333;12.2333;16.2;12.1;14.5333;15.7333;15.1333,8.94309;8.40925;8.90967;9.51029;8.99778;8.41566;7.82617;8.64073;8.30154,10.7833;14.1889;14.375,11.4333;10.1333;14.1333;12.2333;16.2;12.1;14.5333;15.7333;15.1333,8.94309;8.40925;8.90967;9.51029;8.99778;8.41566;7.82617;8.64073;8.30154,10.7833;14.1889;14.375
