algorithm,cost_scope,transport_weight,avg_inventory_cost_per_step,avg_routing_cost_per_step,avg_weighted_total_cost_per_step,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,inventory_only,0.0,985.0777777777778,0.0,985.0777777777779,985.0777777777779,0.7441155310637585,0.25588446893624156,8.322972094266648,0.0,0.0,1.0,0.02070307731628418
"(s,S)",inventory_only,0.0,1067.3111111111111,0.0,1067.311111111111,1067.311111111111,0.7158598671081607,0.2841401328918392,9.668289676744466,0.0,0.0,1.0,0.020165681838989258
BaseStock+Savings,inventory_plus_routing,0.25,985.0777777777778,13.437143807954895,998.5149215857327,998.5149215857327,0.7441155310637585,0.25588446893624156,8.322972094266648,13.437143807954895,53.74857523181958,1.0,0.02478647232055664
"(s,S)+Savings",inventory_plus_routing,0.25,1067.3111111111111,10.582964185280256,1077.8940752963915,1077.8940752963915,0.7158598671081607,0.2841401328918392,9.668289676744466,10.582964185280256,42.33185674112102,1.0,0.03438711166381836
BaseStock+Savings2Opt,inventory_plus_routing,0.25,985.0777777777778,13.437143807954895,998.5149215857327,998.5149215857327,0.7441155310637585,0.25588446893624156,8.322972094266648,13.437143807954895,53.74857523181958,1.0,0.025195598602294922
"(s,S)+Savings2Opt",inventory_plus_routing,0.25,1067.3111111111111,10.582964185280256,1077.8940752963915,1077.8940752963915,0.7158598671081607,0.2841401328918392,9.668289676744466,10.582964185280256,42.33185674112102,1.0,0.027640342712402344
BaseStock+NearestInsertion,inventory_plus_routing,0.25,985.0777777777778,13.437143807954895,998.5149215857327,998.5149215857327,0.7441155310637585,0.25588446893624156,8.322972094266648,13.437143807954895,53.74857523181958,1.0,0.03148293495178223
"(s,S)+NearestInsertion",inventory_plus_routing,0.25,1067.3111111111111,10.582964185280256,1077.8940752963915,1077.8940752963915,0.7158598671081607,0.2841401328918392,9.668289676744466,10.582964185280256,42.33185674112102,1.0,0.02548050880432129
BaseStock+GARouting,inventory_plus_routing,0.25,985.0777777777778,13.437143807954895,998.5149215857327,998.5149215857327,0.7441155310637585,0.25588446893624156,8.322972094266648,13.437143807954895,53.74857523181958,1.0,4.510970830917358
"(s,S)+GARouting",inventory_plus_routing,0.25,1067.3111111111111,10.582964185280256,1077.8940752963915,1077.8940752963915,0.7158598671081607,0.2841401328918392,9.668289676744466,10.582964185280256,42.33185674112102,1.0,3.3745994567871094
GAInventory+Savings,inventory_plus_routing,0.25,802.3888888888889,28.38796601875621,830.7768549076451,830.7768549076451,0.9918303280962925,0.008169671903707617,3.6451459008523694,28.387966018756213,113.55186407502485,1.0,0.6699562072753906
GAInventory+Savings2Opt,inventory_plus_routing,0.25,802.3888888888889,28.38796601875621,830.7768549076451,830.7768549076451,0.9918303280962925,0.008169671903707617,3.6451459008523694,28.387966018756213,113.55186407502485,1.0,0.6134593486785889
ALNSInventory+Savings,inventory_plus_routing,0.25,896.9777777777778,27.339999321780514,924.3177770995584,924.3177770995584,0.9638363149571477,0.036163685042852355,3.700567995805832,27.33999932178051,109.35999728712204,1.0,0.19196200370788574
ALNSInventory+Savings2Opt,inventory_plus_routing,0.25,896.9777777777778,27.339999321780514,924.3177770995584,924.3177770995584,0.9638363149571477,0.036163685042852355,3.700567995805832,27.33999932178051,109.35999728712204,1.0,0.20418620109558105
ALNS-IRP,inventory_plus_routing,0.25,871.4666666666667,26.682302628977812,898.1489692956444,898.1489692956444,0.9648197418464175,0.035180258153582465,3.4067204597642173,26.682302628977812,106.72921051591125,1.0,0.6758363246917725
MILP-InventoryOnly,inventory_only_oracle,0.0,617.4,0.0,617.4,617.4,0.9956114376946402,0.004388562305359815,2.0549779405218307,0.0,0.0,1.0,3.1255311965942383
IQL,inventory_only,0.0,1588.4881689232755,0.0,1588.4881689232752,1588.4881689232752,0.9134865206288226,0.08651347937117737,2.1259722878168366,0.0,0.0,1.0,65.01648497581482
QMIX,inventory_only,0.0,1185.0043568897227,0.0,1185.0043568897227,1185.0043568897227,0.9060564398690504,0.09394356013094958,0.16007053276254438,0.0,0.0,1.0,72.95905303955078
MAPPO,inventory_only,0.0,1351.9151008150995,0.0,1351.9151008150995,1351.9151008150995,0.9070384145280445,0.0929615854719555,0.0,0.0,0.0,1.0,136.70739650726318
IQL-GNN,inventory_only,0.0,2692.6239755237384,0.0,2692.623975523738,2692.623975523738,0.8258199438838485,0.1741800561161515,0.7982636095516665,0.0,0.0,1.0,87.27629160881042
QMIX-GNN,inventory_only,0.0,1541.0725348725023,0.0,1541.0725348725025,1541.0725348725025,0.9135935526206517,0.08640644737934829,0.9652233314770388,0.0,0.0,1.0,88.95662569999695
MAPPO-GNN,inventory_only,0.0,1314.8229390681422,0.0,1314.8229390681424,1314.8229390681424,0.9006489272281163,0.09935107277188364,0.030979311276989552,0.0,0.0,1.0,153.16606259346008
