algorithm,episode,global_step,episode_reward_sum,episode_reward_mean_per_step,episode_length,update_count,epsilon,buffer_size,loss,policy_loss,value_loss,entropy,avg_cost_per_step,avg_weighted_total_cost_per_step,avg_inventory_cost_per_step,avg_routing_cost_per_step,transport_weight,total_inventory_cost,total_transport,routing_cost,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,total_holding,total_backlog,avg_pipeline,weighted_total_cost
IQL,1,30,-50.17677574916891,-1.6725591916389637,30,0,0.9968333333333333,30,,,,,968.080831960057,968.080831960057,968.080831960057,0.0,0.0,29042.424958801712,0.0,0.0,0.0,0.0,1.0,0.9066358873937139,0.09336411260628608,6.905870521916643,22457.038087347057,6585.386871454654,9.96883262706792,29042.424958801712
QMIX,1,30,-11.272072328306564,-0.37573574427688544,30,0,0.9943,30,,,,,857.3622712430918,857.3622712430918,857.3622712430918,0.0,0.0,25720.868137292753,0.0,0.0,0.0,0.0,1.0,0.9461154570941345,0.05388454290586553,5.768852448174648,23664.872438080616,2055.995699212135,10.348769054008615,25720.868137292753
MAPPO,1,30,-14.63196596090326,-0.48773219869677537,30,0,,30,,,,,963.7396263032703,963.7396263032703,963.7396263032703,0.0,0.0,28912.18878909811,0.0,0.0,0.0,0.0,1.0,0.9463309463589902,0.05366905364100982,6.460102546269982,26641.528110525156,2270.660678572954,11.342342194112911,28912.18878909811
IQL-GNN,1,30,-15.144910621215697,-0.5048303540405232,30,0,0.9968333333333333,30,,,,,929.8831043273,929.8831043273,929.8831043273,0.0,0.0,27896.493129819,0.0,0.0,0.0,0.0,1.0,0.9462439919463824,0.05375600805361758,5.21972459635273,26041.546155002,1854.9469748169972,10.743303943924321,27896.493129819
QMIX-GNN,1,30,-7.378053825350627,-0.24593512751168758,30,0,0.9943,30,,,,,865.64467619969,865.64467619969,865.64467619969,0.0,0.0,25969.3402859907,0.0,0.0,0.0,0.0,1.0,0.9550297449906872,0.04497025500931284,4.972950625686992,24506.675982661996,1462.6643033287053,10.967027618189293,25969.3402859907
MAPPO-GNN,1,30,-1.0583496868288509,-0.03527832289429503,30,0,,30,,,,,892.1939304371966,892.1939304371966,892.1939304371966,0.0,0.0,26765.817913115898,0.0,0.0,0.0,0.0,1.0,0.9656240628059629,0.03437593719403709,5.296339756984964,26069.61455909198,696.2033540239187,11.05581265376564,26765.817913115898
